username,following,followers,likes,video_views,video_link,scrap_date,scrap_time
fernandassep,156,79600,4000000,11500.0,https://www.tiktok.com/@fernandassep/video/7073903066478546218,2022-04-01,00:48:11.768908
fernandassep,156,79600,4000000,251500.0,https://www.tiktok.com/@fernandassep/video/7073886886602804526,2022-04-01,00:48:11.806025
fernandassep,156,79600,4000000,5750.0,https://www.tiktok.com/@fernandassep/video/7073683067428293930,2022-04-01,00:48:11.846958
fernandassep,156,79600,4000000,41600.0,https://www.tiktok.com/@fernandassep/video/7073551878474222894,2022-04-01,00:48:11.885411
fernandassep,156,79600,4000000,49500.0,https://www.tiktok.com/@fernandassep/video/7073504463864057134,2022-04-01,00:48:11.923258
fernandassep,156,79600,4000000,7608.0,https://www.tiktok.com/@fernandassep/video/7073333904446360875,2022-04-01,00:48:11.962468
fernandassep,156,79600,4000000,7026.0,https://www.tiktok.com/@fernandassep/video/7073327130104466734,2022-04-01,00:48:12.008613
fernandassep,156,79600,4000000,8041.0,https://www.tiktok.com/@fernandassep/video/7073312221140405546,2022-04-01,00:48:12.057877
fernandassep,156,79600,4000000,71300.0,https://www.tiktok.com/@fernandassep/video/7073290356812434734,2022-04-01,00:48:12.102679
fernandassep,156,79600,4000000,7526.0,https://www.tiktok.com/@fernandassep/video/7073275746944322858,2022-04-01,00:48:12.141715
fernandassep,156,79600,4000000,162600.0,https://www.tiktok.com/@fernandassep/video/7073243080140361003,2022-04-01,00:48:12.178001
fernandassep,156,79600,4000000,5106.0,https://www.tiktok.com/@fernandassep/video/7073196765901737262,2022-04-01,00:48:12.220771
fernandassep,156,79600,4000000,21600.0,https://www.tiktok.com/@fernandassep/video/7073184072989936942,2022-04-01,00:48:12.260198
fernandassep,156,79600,4000000,7346.0,https://www.tiktok.com/@fernandassep/video/7072940505910529326,2022-04-01,00:48:12.297329
fernandassep,156,79600,4000000,31900.0,https://www.tiktok.com/@fernandassep/video/7072875446915910955,2022-04-01,00:48:12.339173
fernandassep,156,79600,4000000,17700.0,https://www.tiktok.com/@fernandassep/video/7072864311257091374,2022-04-01,00:48:12.377120
fernandassep,156,79600,4000000,7192.0,https://www.tiktok.com/@fernandassep/video/7072847015708806443,2022-04-01,00:48:12.414700
fernandassep,156,79600,4000000,9396.0,https://www.tiktok.com/@fernandassep/video/7072837098595716398,2022-04-01,00:48:12.455019
fernandassep,156,79600,4000000,8947.0,https://www.tiktok.com/@fernandassep/video/7072819209335606570,2022-04-01,00:48:12.492466
fernandassep,156,79600,4000000,10100.0,https://www.tiktok.com/@fernandassep/video/7072754345967619374,2022-04-01,00:48:12.527792
fernandassep,156,79600,4000000,182700.0,https://www.tiktok.com/@fernandassep/video/7072749164639046955,2022-04-01,00:48:12.567654
fernandassep,156,79600,4000000,6319.0,https://www.tiktok.com/@fernandassep/video/7072573432814374190,2022-04-01,00:48:12.605653
fernandassep,156,79600,4000000,37400.0,https://www.tiktok.com/@fernandassep/video/7072551629400247598,2022-04-01,00:48:12.642158
fernandassep,156,79600,4000000,40400.0,https://www.tiktok.com/@fernandassep/video/7072517871015922990,2022-04-01,00:48:12.679761
fernandassep,156,79600,4000000,5368.0,https://www.tiktok.com/@fernandassep/video/7072482437942627630,2022-04-01,00:48:12.719033
fernandassep,156,79600,4000000,7724.0,https://www.tiktok.com/@fernandassep/video/7072460867790736686,2022-04-01,00:48:12.756720
fernandassep,156,79600,4000000,6048.0,https://www.tiktok.com/@fernandassep/video/7072449952571608366,2022-04-01,00:48:12.794926
fernandassep,156,79600,4000000,27600.0,https://www.tiktok.com/@fernandassep/video/7072436131123481898,2022-04-01,00:48:12.834582
fernandassep,156,79600,4000000,92000.0,https://www.tiktok.com/@fernandassep/video/7072211161692785966,2022-04-01,00:48:12.872025
fernandassep,156,79600,4000000,6201.0,https://www.tiktok.com/@fernandassep/video/7072172134906236206,2022-04-01,00:48:12.909297
fernandassep,156,79600,4000000,17100.0,https://www.tiktok.com/@fernandassep/video/7072161859310275882,2022-04-01,00:48:12.952100
fernandassep,156,79600,4000000,54500.0,https://www.tiktok.com/@fernandassep/video/7072144464814443822,2022-04-01,00:48:12.989331
fernandassep,156,79600,4000000,598200.0,https://www.tiktok.com/@fernandassep/video/7072014011184729387,2022-04-01,00:48:13.027473
fernandassep,156,79600,4000000,3416.0,https://www.tiktok.com/@fernandassep/video/7071884673076694318,2022-04-01,00:48:13.066810
fernandassep,156,79600,4000000,4463.0,https://www.tiktok.com/@fernandassep/video/7071851077372513579,2022-04-01,00:48:13.105973
fernandassep,156,79600,4000000,3009.0,https://www.tiktok.com/@fernandassep/video/7071840823884893486,2022-04-01,00:48:13.144891
